fname,label
sword1.wav,Swords
sword2.wav,Swords
sword3.wav,Swords
sword4.wav,Swords
sword5.wav,Swords
sword6.wav,Swords
sword7.wav,Swords
sword8.wav,Swords
sword9.wav,Swords
sword10.wav,Swords
sword11.wav,Swords
sword12.wav,Swords
sword13.wav,Swords
sword14.wav,Swords
sword15.wav,Swords
sword16.wav,Swords
sword17.wav,Swords
sword18.wav,Swords
sword19.wav,Swords
sword20.wav,Swords
sword21.wav,Swords
sword22.wav,Swords
sword23.wav,Swords
sword24.wav,Swords
sword25.wav,Swords
sword26.wav,Swords
sword27.wav,Swords
sword28.wav,Swords
sword29.wav,Swords
sword30.wav,Swords
sword31.wav,Swords
sword32.wav,Swords
sword33.wav,Swords
sword34.wav,Swords
sword35.wav,Swords
sword36.wav,Swords
sword37.wav,Swords
sword38.wav,Swords
sword39.wav,Swords
sword40.wav,Swords
sword41.wav,Swords
sword42.wav,Swords
sword43.wav,Swords
sword44.wav,Swords
sword45.wav,Swords
sword46.wav,Swords
sword47.wav,Swords
sword48.wav,Swords
sword49.wav,Swords
sword50.wav,Swords
animal1.wav,WildAnimals
animal2.wav,WildAnimals
animal3.wav,WildAnimals
animal4.wav,WildAnimals
animal5.wav,WildAnimals
animal6.wav,WildAnimals
animal7.wav,WildAnimals
animal8.wav,WildAnimals
animal9.wav,WildAnimals
animal10.wav,WildAnimals
animal11.wav,WildAnimals
animal12.wav,WildAnimals
animal13.wav,WildAnimals
animal14.wav,WildAnimals
animal15.wav,WildAnimals
animal16.wav,WildAnimals
animal17.wav,WildAnimals
animal18.wav,WildAnimals
animal19.wav,WildAnimals
animal20.wav,WildAnimals
animal21.wav,WildAnimals
animal22.wav,WildAnimals
animal23.wav,WildAnimals
animal24.wav,WildAnimals
animal25.wav,WildAnimals
animal26.wav,WildAnimals
animal27.wav,WildAnimals
animal28.wav,WildAnimals
animal29.wav,WildAnimals
animal30.wav,WildAnimals
animal31.wav,WildAnimals
animal32.wav,WildAnimals
animal33.wav,WildAnimals
animal34.wav,WildAnimals
animal35.wav,WildAnimals
animal36.wav,WildAnimals
animal37.wav,WildAnimals
animal38.wav,WildAnimals
animal39.wav,WildAnimals
animal40.wav,WildAnimals
animal41.wav,WildAnimals
animal42.wav,WildAnimals
gasalarm1.wav,Alarms
gasalarm2.wav,Alarms
gasalarm3.wav,Alarms
gasalarm4.wav,Alarms
gasalarm5.wav,Alarms
gasalarm6.wav,Alarms
gasalarm7.wav,Alarms
gasalarm8.wav,Alarms
gasalarm9.wav,Alarms
gasalarm10.wav,Alarms
gasalarm11.wav,Alarms
gasalarm12.wav,Alarms
gasalarm13.wav,Alarms
gasalarm14.wav,Alarms
gasalarm15.wav,Alarms
gasalarm16.wav,Alarms
gasalarm17.wav,Alarms
gasalarm18.wav,Alarms
gasalarm19.wav,Alarms
gasalarm20.wav,Alarms
gasalarm21.wav,Alarms
gasalarm22.wav,Alarms
gasalarm23.wav,Alarms
gasalarm24.wav,Alarms
gasalarm25.wav,Alarms
gasalarm26.wav,Alarms
gasalarm27.wav,Alarms
gasalarm28.wav,Alarms
gasalarm29.wav,Alarms
gasalarm30.wav,Alarms
gasalarm31.wav,Alarms
gasalarm32.wav,Alarms
gasalarm33.wav,Alarms
gasalarm34.wav,Alarms
gasalarm35.wav,Alarms
gasalarm36.wav,Alarms
gasalarm37.wav,Alarms
gasalarm38.wav,Alarms
gasalarm39.wav,Alarms
gasalarm40.wav,Alarms
gasalarm41.wav,Alarms
gasalarm42.wav,Alarms
gasalarm43.wav,Alarms
gasalarm44.wav,Alarms
gasalarm45.wav,Alarms
gasalarm46.wav,Alarms
gasalarm47.wav,Alarms
gasalarm48.wav,Alarms
gasalarm49.wav,Alarms
gasalarm50.wav,Alarms
